Date;Hour;Stock;Shares;Transaction;Value;money;kind;Sum
21/11/11;08:31:00;New World Development (17);1000;Sold;6,88;HKD;income;6880
18/11/11;21:31:00;DuPont de Nemours (DD);46;Sold;46,34;USD;income;2131,64
18/11/11;16:00:00;Baker Hughes (BHI);3;Acquired;55,58;USD;cost;166,74
18/11/11;16:00:00;Amgen (AMGN);3;Acquired;55,69;USD;cost;167,07
18/11/11;07:51:00;New World Development (17);1000;Acquired;7,09;HKD;cost;7090
17/11/11;21:31:00;Apple (AAPL);2;Sold;376,75;USD;income;753,5
17/11/11;21:31:00;Cisco (CSCO);42;Sold;18,4;USD;income;772,8
17/11/11;16:00:00;DuPont de Nemours (DD);46;Acquired;46,93;USD;cost;2158,7662
16/11/11;16:06:00;Apple (AAPL);2;Acquired;388,83;USD;cost;777,66
16/11/11;16:00:00;Cisco (CSCO);42;Acquired;19,03;USD;cost;799,26
16/11/11;08:31:00;Aluminum Corp of China (2600);2000;Sold;4,04;HKD;income;8080
15/11/11;21:31:00;Altria (MO);12;Sold;27,8;USD;income;333,6
15/11/11;21:31:00;Verizon (VZ);9;Sold;37,35;USD;income;336,15
15/11/11;17:01:00;Bouygues (EN);50;Sold;24,2;EUR;income;1209,8
15/11/11;04:30:00;Aluminum Corp of China (2600);2000;Acquired;4,14;HKD;cost;8280
14/11/11;21:31:00;Amgen (AMGN);6;Sold;57,26;USD;income;343,56
14/11/11;16:00:00;Altria (MO);12;Acquired;27,66;USD;cost;331,92
14/11/11;16:00:00;Verizon (VZ);9;Acquired;37,13;USD;cost;334,17
14/11/11;09:39:00;Bouygues (EN);50;Acquired;24,65;EUR;cost;1232,5
11/11/11;16:00:00;Amgen (AMGN);6;Acquired;57,96;USD;cost;347,76
11/11/11;08:31:00;Esprit Holdings (330);1200;Sold;9,95;HKD;income;11940
10/11/11;21:31:00;AT&T (T);45;Sold;29,19;USD;income;1313,55
10/11/11;04:30:00;Esprit Holdings (330);1200;Acquired;9,78;HKD;cost;11736
09/11/11;21:31:00;Alcoa (AA);119;Sold;10,27;USD;income;1222,6298
09/11/11;21:31:00;Walgreen (WAG);38;Sold;31,77;USD;income;1207,26
09/11/11;16:00:00;AT&T (T);45;Acquired;29,04;USD;cost;1306,8
08/11/11;17:01:00;L'Oreal (OR);16;Sold;78,23;EUR;income;1251,696
08/11/11;16:09:00;Alcoa (AA);119;Acquired;10,75;USD;cost;1279,25
08/11/11;16:00:00;Walgreen (WAG);38;Acquired;32,64;USD;cost;1240,32
07/11/11;21:31:00;Bristol-Myers Squibb (BMY);11;Sold;31,28;USD;income;344,08
07/11/11;21:31:00;Philip Morris (PM);5;Sold;70,29;USD;income;351,45
07/11/11;21:31:00;Verizon (VZ);9;Sold;37,25;USD;income;335,25
07/11/11;09:30:00;L'Oreal (OR);16;Acquired;76,74;EUR;cost;1227,84
04/11/11;15:00:00;Philip Morris (PM);5;Acquired;70,61;USD;cost;353,05
04/11/11;15:00:00;Bristol-Myers Squibb (BMY);11;Acquired;31,49;USD;cost;346,39
04/11/11;15:00:00;Verizon (VZ);9;Acquired;37,23;USD;cost;335,07
01/11/11;20:31:00;Southern Company (SO);89;Sold;42,77;USD;income;3806,53
01/11/11;17:01:00;Henkel (HEN3);29;Sold;42,24;EUR;income;1224,815
31/10/11;20:31:00;Abbott (ABT);7;Sold;53,97;USD;income;377,79
31/10/11;20:30:00;Avon (AVP);20;Sold;18,39;USD;income;367,8
31/10/11;15:00:00;Southern Company (SO);89;Acquired;43,3;USD;cost;3853,7
31/10/11;09:30:00;Henkel (HEN3);29;Acquired;44,48;EUR;cost;1290,036
28/10/11;21:30:00;Procter & Gamble (PG);5;Sold;64,58;USD;income;322,9
28/10/11;16:00:00;Avon (AVP);20;Acquired;18,59;USD;cost;371,8
28/10/11;16:00:00;Abbott (ABT);7;Acquired;54,05;USD;cost;378,35
27/10/11;16:00:00;Procter & Gamble (PG);5;Acquired;64,82;USD;cost;324,1
26/10/11;21:30:00;Colgate-Palmolive (CL);14;Sold;90,46;USD;income;1266,44
26/10/11;09:30:00;New World Development (17);1000;Sold;7,38;HKD;income;7380
25/10/11;21:30:00;Bristol-Myers Squibb (BMY);40;Sold;32,19;USD;income;1287,6
25/10/11;21:30:00;Merck (MRK);39;Sold;33,03;USD;income;1288,17
25/10/11;17:00:00;Infineon (IFX);207;Sold;6,4;EUR;income;1325,628
25/10/11;16:00:00;Colgate-Palmolive (CL);14;Acquired;90,75;USD;cost;1270,5
25/10/11;04:30:00;New World Development (17);1000;Acquired;7,52;HKD;cost;7520
24/10/11;16:00:00;Bristol-Myers Squibb (BMY);40;Acquired;32,45;USD;cost;1298
24/10/11;16:00:00;Merck (MRK);39;Acquired;33,15;USD;cost;1292,85
24/10/11;09:30:00;Infineon (IFX);207;Acquired;6,11;EUR;cost;1264,356
21/10/11;21:30:00;JPMorgan (JPM);11;Sold;33,19;USD;income;365,09
21/10/11;21:30:00;Dell (DELL);22;Sold;15,18;USD;income;333,96
21/10/11;21:30:00;Cisco (CSCO);20;Sold;17,31;USD;income;346,2
20/10/11;16:00:00;Cisco (CSCO);20;Acquired;17,13;USD;cost;342,6
20/10/11;16:00:00;Dell (DELL);22;Acquired;14,85;USD;cost;326,7
20/10/11;16:00:00;JPMorgan (JPM);11;Acquired;31,92;USD;cost;351,12
19/10/11;09:30:00;Hong Kong and China Gas (3);1000;Sold;17,06;HKD;income;17060
18/10/11;21:30:00;Texas Instruments (TXN);45;Sold;30,85;USD;income;1388,25
18/10/11;21:30:00;Unitedhealth (UNH);29;Sold;44,8;USD;income;1299,2
18/10/11;21:30:00;Google (GOOG);2;Sold;590,49;USD;income;1180,98
18/10/11;17:00:00;EADS (EAD);57;Sold;22,34;EUR;income;1273,437
18/10/11;04:30:00;Hong Kong and China Gas (3);1000;Acquired;16,72;HKD;cost;16720
